"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command"
"64","can5ad.64","0.75","50","31","300","0","0.01","0.49944",,"10",,"[2026/04/15 18:17:13]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.64 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.64 -json output.json"
"65","can5ad.65","0.5","50","31","300","0","0.01","0.50152",,"13",,"[2026/04/15 18:41:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.65 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.65 -json output.json"
"66","can5ad.66","1","50","31","300","0","0.01","0.49836",,"12",,"[2026/04/15 19:06:12]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.66 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.66 -json output.json"
"67","can5ad.67","0.75","25","63","300","0","0.05","0.50004",,"10",,"[2026/04/15 19:29:35]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.67 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.67 -json output.json"
"68","can5ad.68","0.5","25","63","300","0","0.05","0.49976",,"10",,"[2026/04/15 19:53:04]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.68 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.68 -json output.json"
"69","can5ad.69","1","25","63","300","0","0.05","0.49284",,"12",,"[2026/04/15 20:16:21]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.69 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.69 -json output.json"
"70","can5ad.70","0.75","25","63","300","0","0.01","0.50052",,"10",,"[2026/04/15 20:39:33]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.70 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.70 -json output.json"
"71","can5ad.71","0.5","25","63","300","0","0.01","0.50052",,"10",,"[2026/04/15 21:03:21]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.71 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.71 -json output.json"
"72","can5ad.72","1","25","63","300","0","0.01","0.49428",,"12",,"[2026/04/15 21:26:50]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.72 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.72 -json output.json"
"73","can5ad.73","0.75","50","63","300","0","0.05","0.50084",,"10",,"[2026/04/15 21:52:08]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.73 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.73 -json output.json"
"74","can5ad.74","0.5","50","63","300","0","0.05","0.49984",,"12",,"[2026/04/15 22:17:31]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.74 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.74 -json output.json"
"75","can5ad.75","1","50","63","300","0","0.05","0.49776",,"11",,"[2026/04/15 22:42:42]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.75 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.75 -json output.json"
"76","can5ad.76","0.75","50","63","300","0","0.01","0.499",,"10",,"[2026/04/15 23:07:50]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.76 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.76 -json output.json"
"77","can5ad.77","0.5","50","63","300","0","0.01","0.49308",,"12",,"[2026/04/15 23:32:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.77 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.77 -json output.json"
"78","can5ad.78","1","50","63","300","0","0.01","0.49776",,"11",,"[2026/04/15 23:57:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.78 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.78 -json output.json"
