"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command","Decision Type","IDV Source"
"33","can5ap.g2.2","0.75","25","127","400","0","0.05","0.51872",,,"6","[2026/04/17 12:14:37]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g2.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g2.2 -json output.json","AdvancedPlay","idv5c2"
"34","can5act.g3.2","0.375","50","255","500","0","0.01","0.53344","23",,,"[2026/04/17 12:26:12]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g3.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g3.2 -json output.json","AdvancedCallTrump","idv5c3"
"35","can5ad.g3.2","0.125","75","31","300","0","0.01","0.5038",,"10",,"[2026/04/17 12:30:25]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g3.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g3.2 -json output.json","AdvancedDiscard","idv5c3"
"36","can5ap.g3.2","0.75","25","127","400","0","0.05","0.47244",,,"7","[2026/04/17 13:42:26]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g3.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g3.2 -json output.json","AdvancedPlay","idv5c3"
"37","can5act.g4.2","0.375","50","255","500","0","0.01","0.52916","22",,,"[2026/04/17 13:48:42]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g4.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g4.2 -json output.json","AdvancedCallTrump","idv5c4"
"38","can5ad.g4.2","0.125","75","31","300","0","0.01","0.50056",,"10",,"[2026/04/17 13:52:57]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g4.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g4.2 -json output.json","AdvancedDiscard","idv5c4"
"39","can5ap.g4.2","0.75","25","127","400","0","0.05","0.51516",,,"6","[2026/04/17 14:54:20]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g4.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g4.2 -json output.json","AdvancedPlay","idv5c4"
"40","can5act.g5.2","0.375","50","255","500","0","0.01","0.53856","19",,,"[2026/04/17 15:06:54]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g5.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g5.2 -json output.json","AdvancedCallTrump","idv5c5"
"41","can5ad.g5.2","0.125","75","31","300","0","0.01","0.49628",,"10",,"[2026/04/17 15:11:48]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g5.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g5.2 -json output.json","AdvancedDiscard","idv5c5"
"42","can5ap.g5.2","0.75","25","127","400","0","0.05","0.5118",,,"6","[2026/04/17 16:25:20]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g5.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g5.2 -json output.json","AdvancedPlay","idv5c5"
"43","can5act.g6.2","0.375","50","255","500","0","0.01","0.53152","18",,,"[2026/04/17 16:35:43]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g6.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g6.2 -json output.json","AdvancedCallTrump","idv5c6"
"44","can5ad.g6.2","0.125","75","31","300","0","0.01","0.49724",,"12",,"[2026/04/17 16:39:40]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g6.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g6.2 -json output.json","AdvancedDiscard","idv5c6"
"45","can5ap.g6.2","0.75","25","127","400","0","0.05","0.48596",,,"7","[2026/04/17 17:45:50]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g6.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g6.2 -json output.json","AdvancedPlay","idv5c6"
"46","can5act.g7.2","0.375","50","255","500","0","0.01","0.54572","15",,,"[2026/04/17 17:55:31]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g7.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g7.2 -json output.json","AdvancedCallTrump","idv5c7"
"47","can5ad.g7.2","0.125","75","31","300","0","0.01","0.504",,"10",,"[2026/04/17 17:59:30]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g7.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g7.2 -json output.json","AdvancedDiscard","idv5c7"
"48","can5ap.g7.2","0.75","25","127","400","0","0.05","0.51548",,,"7","[2026/04/17 19:02:07]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g7.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g7.2 -json output.json","AdvancedPlay","idv5c7"
"49","can5act.g8.2","0.375","50","255","500","0","0.01","0.53884","22",,,"[2026/04/17 19:13:47]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g8.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g8.2 -json output.json","AdvancedCallTrump","idv5c8"
"50","can5ad.g8.2","0.125","75","31","300","0","0.01","0.49592",,"12",,"[2026/04/17 19:17:57]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g8.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g8.2 -json output.json","AdvancedDiscard","idv5c8"
"51","can5ap.g8.2","0.75","25","127","400","0","0.05","0.47896",,,"5","[2026/04/17 20:29:24]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g8.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g8.2 -json output.json","AdvancedPlay","idv5c8"
"52","can5act.g9.2","0.375","50","255","500","0","0.01","0.52956","22",,,"[2026/04/17 20:42:04]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g9.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g9.2 -json output.json","AdvancedCallTrump","idv5c9"
"53","can5ad.g9.2","0.125","75","31","300","0","0.01","0.49752",,"13",,"[2026/04/17 20:46:10]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g9.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g9.2 -json output.json","AdvancedDiscard","idv5c9"
"54","can5ap.g9.2","0.75","25","127","400","0","0.05","0.4814",,,"8","[2026/04/17 21:56:26]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g9.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g9.2 -json output.json","AdvancedPlay","idv5c9"
