"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command","Decision Type"
"1","can5ct.p1","0.75","75","255","500","0","0.01","0.516","13","0",,"[2026/03/17 14:56:35]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-call can5ct.p1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ct.p1 -json output.json","CallTrump"
"3","can5d.p1","0.25","150","63","300","0","0.01","0.50076","0","10",,"[2026/03/17 15:02:59]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-discard can5d.p1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5d.p1 -json output.json","Discard"
"5","can5p.p1","0.75","100","127","400","0","0.01","0.37464","0","0","6","[2026/03/17 16:51:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-play can5p.p1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5p.p1 -json output.json","Play"
"6","can5sp.p1","0.75","100","127","400","0","0.01","0.49748","0","0","1","[2026/03/17 17:46:04]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-simple-play can5sp.p1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5sp.p1 -json output.json","SimplePlay"
"7","can5ap.p1","0.75","100","127","400","0","0.01","0.49676",,,"11","[2026/03/17 19:08:41]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.p1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.p1 -json output.json","AdvancedPlay"
"2","can5act.p1","0.75","75","255","500","0","0.01","0.5402","23",,,"[2026/03/17 20:52:18]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.p1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.p1 -json output.json","AdvancedCallTrump"
"4","can5ad.p1","0.25","150","63","300","0","0.01","0.49636",,"10",,"[2026/03/17 20:56:54]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.p1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.p1 -json output.json","AdvancedDiscard"
