"Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Call Trump Passed Tests"
"gen1b2.52","0.025","1.15","300","32","25","0.57984","18"
"gen1c.52","0.025","1.15","300","32","25","0.6002","11"
"gen1b2.53","0.25","1.15","300","32","25","0.57276","14"
"gen1c.53","0.25","1.15","300","32","25","0.606","11"
"gen1b2.54","2.5","1.15","300","32","25","0.58584","13"
"gen1c.54","2.5","1.15","300","32","25","0.5828","17"
"gen1b2.55","0.025","0.7","100","32","40","0.621","15"
"gen1c.55","0.025","0.7","100","32","40","0.63096","15"
"gen1b2.56","0.25","0.7","100","32","40","0.63932","16"
"gen1c.56","0.25","0.7","100","32","40","0.6454","13"
"gen1b2.57","2.5","0.7","100","32","40","0.61264","15"
"gen1c.57","2.5","0.7","100","32","40","0.61852","14"
"gen1b2.58","0.025","1.15","100","32","40","0.57552","13"
"gen1c.58","0.025","1.15","100","32","40","0.59872","19"
"gen1b2.59","0.25","1.15","100","32","40","0.58876","16"
"gen1c.59","0.25","1.15","100","32","40","0.61444","14"
"gen1b2.60","2.5","1.15","100","32","40","0.60012","15"
"gen1c.60","2.5","1.15","100","32","40","0.5976","13"
"gen1b2.61","0.025","0.7","200","32","40","0.63272","17"
"gen1c.61","0.025","0.7","200","32","40","0.64328","12"
"gen1b2.62","0.25","0.7","200","32","40","0.64776","14"
"gen1c.62","0.25","0.7","200","32","40","0.65672","14"
"gen1b2.63","2.5","0.7","200","32","40","0.6164","16"
"gen1c.63","2.5","0.7","200","32","40","0.6256","14"
"gen1b2.64","0.025","1.15","200","32","40","0.59748","18"
"gen1c.64","0.025","1.15","200","32","40","0.60812","12"
"gen1b2.65","0.25","1.15","200","32","40","0.5948","14"
"gen1c.65","0.25","1.15","200","32","40","0.61908","10"
"gen1b2.66","2.5","1.15","200","32","40","0.59684","18"
"gen1c.66","2.5","1.15","200","32","40","0.59296","14"
"gen1b2.67","0.025","0.7","300","32","40","0.62076","19"
"gen1c.67","0.025","0.7","300","32","40","0.63248","17"
"gen1b2.68","0.25","0.7","300","32","40","0.6238","18"
"gen1c.68","0.25","0.7","300","32","40","0.6444","14"
"gen1b2.69","2.5","0.7","300","32","40","0.60324","17"
"gen1c.69","2.5","0.7","300","32","40","0.60772","14"
"gen1b2.70","0.025","1.15","300","32","40","0.59076","18"
"gen1c.70","0.025","1.15","300","32","40","0.59372","12"
"gen1b2.71","0.25","1.15","300","32","40","0.58608","15"
"gen1c.71","0.25","1.15","300","32","40","0.60788","13"
"gen1b2.72","2.5","1.15","300","32","40","0.57872","18"
