"Model Number","Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Discard Passed Tests"
"1","gen1b2.1","0.025","0.7","200","32","25","0.50056","9"
"1","gen1c.1","0.025","0.7","200","32","25","0.50192","6"
"2","gen1b2.2","0.25","0.7","200","32","25","0.4946","9"
"2","gen1c.2","0.25","0.7","200","32","25","0.49948","10"
"3","gen1b2.3","0.025","1.15","200","32","25","0.4874","11"
"3","gen1c.3","0.025","1.15","200","32","25","0.491","5"
"4","gen1b2.4","0.25","1.15","200","32","25","0.48964","6"
"4","gen1c.4","0.25","1.15","200","32","25","0.492","12"
"5","gen1b2.5","0.025","0.7","300","32","25","0.49316","9"
"5","gen1c.5","0.025","0.7","300","32","25","0.49808","7"
"6","gen1b2.6","0.25","0.7","300","32","25","0.50232","9"
"6","gen1c.6","0.25","0.7","300","32","25","0.49964","11"
"7","gen1b2.7","0.025","1.15","300","32","25","0.48732","12"
"7","gen1c.7","0.025","1.15","300","32","25","0.48784","6"
"8","gen1b2.8","0.25","1.15","300","32","25","0.49088","5"
"8","gen1c.8","0.25","1.15","300","32","25","0.49604","11"
"9","gen1b2.9","0.025","0.7","200","32","40","0.49644","12"
"9","gen1c.9","0.025","0.7","200","32","40","0.50536","9"
"10","gen1b2.10","0.25","0.7","200","32","40","0.50064","5"
"10","gen1c.10","0.25","0.7","200","32","40","0.4994","9"
"11","gen1b2.11","0.025","1.15","200","32","40","0.49028","13"
"11","gen1c.11","0.025","1.15","200","32","40","0.49464","9"
"12","gen1b2.12","0.25","1.15","200","32","40","0.4934","10"
"12","gen1c.12","0.25","1.15","200","32","40","0.49216","11"
"13","gen1b2.13","0.025","0.7","300","32","40","0.4972","13"
"13","gen1c.13","0.025","0.7","300","32","40","0.50008","9"
"14","gen1b2.14","0.25","0.7","300","32","40","0.50152","6"
"14","gen1c.14","0.25","0.7","300","32","40","0.49464","10"
"15","gen1b2.15","0.025","1.15","300","32","40","0.48256","13"
"15","gen1c.15","0.025","1.15","300","32","40","0.49156","10"
"16","gen1b2.16","0.25","1.15","300","32","40","0.49728","11"
"16","gen1c.16","0.25","1.15","300","32","40","0.49492","11"
"17","gen1b2.17","0.025","0.7","200","64","25","0.48796","9"
"17","gen1c.17","0.025","0.7","200","64","25","0.5024","11"
"18","gen1b2.18","0.25","0.7","200","64","25","0.49792","11"
"18","gen1c.18","0.25","0.7","200","64","25","0.49644","10"
"19","gen1b2.19","0.025","1.15","200","64","25","0.4772","12"
"19","gen1c.19","0.025","1.15","200","64","25","0.4862","10"
"20","gen1b2.20","0.25","1.15","200","64","25","0.49504","9"
"20","gen1c.20","0.25","1.15","200","64","25","0.48984","11"
"21","gen1b2.21","0.025","0.7","300","64","25","0.49396","9"
"21","gen1c.21","0.025","0.7","300","64","25","0.49032","11"
"22","gen1b2.22","0.25","0.7","300","64","25","0.4916","11"
"22","gen1c.22","0.25","0.7","300","64","25","0.48916","10"
"23","gen1b2.23","0.025","1.15","300","64","25","0.47672","14"
"23","gen1c.23","0.025","1.15","300","64","25","0.48428","10"
"24","gen1b2.24","0.25","1.15","300","64","25","0.48716","10"
"24","gen1c.24","0.25","1.15","300","64","25","0.48976","9"
"25","gen1b2.25","0.025","0.7","200","64","40","0.49096","8"
"25","gen1c.25","0.025","0.7","200","64","40","0.50112","11"
"26","gen1b2.26","0.25","0.7","200","64","40","0.49412","10"
"26","gen1c.26","0.25","0.7","200","64","40","0.4964","10"
"27","gen1b2.27","0.025","1.15","200","64","40","0.48196","8"
"27","gen1c.27","0.025","1.15","200","64","40","0.48372","11"
"28","gen1b2.28","0.25","1.15","200","64","40","0.49536","10"
"28","gen1c.28","0.25","1.15","200","64","40","0.49432","10"
"29","gen1b2.29","0.025","0.7","300","64","40","0.48588","10"
"29","gen1c.29","0.025","0.7","300","64","40","0.49168","10"
"30","gen1b2.30","0.25","0.7","300","64","40","0.4972","9"
"30","gen1c.30","0.25","0.7","300","64","40","0.495","9"
"31","gen1b2.31","0.025","1.15","300","64","40","0.48316","7"
"31","gen1c.31","0.025","1.15","300","64","40","0.484","11"
"32","gen1b2.32","0.25","1.15","300","64","40","0.48312","10"
"32","gen1c.32","0.25","1.15","300","64","40","0.49112","11"
