"Model Number","Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Play Passed Tests"
"27","gen1c.27","0.025","1.15","100","32","40","0.51432","7"
"28","gen1b2.28","0.25","1.15","100","32","40","0.51356","4"
"28","gen1c.28","0.25","1.15","100","32","40","0.515","8"
"29","gen1b2.29","0.025","0.7","200","32","40","0.51284","10"
"29","gen1c.29","0.025","0.7","200","32","40","0.50892","7"
"30","gen1b2.30","0.25","0.7","200","32","40","0.506","9"
"30","gen1c.30","0.25","0.7","200","32","40","0.50604","5"
"31","gen1b2.31","0.025","1.15","200","32","40","0.50504","8"
"31","gen1c.31","0.025","1.15","200","32","40","0.50012","10"
"32","gen1b2.32","0.25","1.15","200","32","40","0.50808","3"
"32","gen1c.32","0.25","1.15","200","32","40","0.50984","6"
"33","gen1b2.33","0.025","0.7","300","32","40","0.50656","12"
"33","gen1c.33","0.025","0.7","300","32","40","0.49392","5"
"34","gen1b2.34","0.25","0.7","300","32","40","0.49532","9"
"34","gen1c.34","0.25","0.7","300","32","40","0.50188","4"
"35","gen1b2.35","0.025","1.15","300","32","40","0.49236","9"
"35","gen1c.35","0.025","1.15","300","32","40","0.4872","11"
"36","gen1b2.36","0.25","1.15","300","32","40","0.48592","5"
"36","gen1c.36","0.25","1.15","300","32","40","0.4914","7"
"37","gen1b2.37","0.025","0.7","100","64","10","0.52412","7"
"37","gen1c.37","0.025","0.7","100","64","10","0.52556","8"
"38","gen1b2.38","0.25","0.7","100","64","10","0.52692","11"
"38","gen1c.38","0.25","0.7","100","64","10","0.52016","11"
"39","gen1b2.39","0.025","1.15","100","64","10","0.51828","6"
"39","gen1c.39","0.025","1.15","100","64","10","0.51428","9"
"40","gen1b2.40","0.25","1.15","100","64","10","0.5066","7"
"40","gen1c.40","0.25","1.15","100","64","10","0.51132","5"
"41","gen1b2.41","0.025","0.7","200","64","10","0.5034","9"
"41","gen1c.41","0.025","0.7","200","64","10","0.51104","9"
"42","gen1b2.42","0.25","0.7","200","64","10","0.51044","8"
"42","gen1c.42","0.25","0.7","200","64","10","0.50864","13"
"43","gen1b2.43","0.025","1.15","200","64","10","0.49752","7"
"43","gen1c.43","0.025","1.15","200","64","10","0.50156","12"
"44","gen1b2.44","0.25","1.15","200","64","10","0.4964","11"
"44","gen1c.44","0.25","1.15","200","64","10","0.49356","8"
"45","gen1b2.45","0.025","0.7","300","64","10","0.49272","9"
"45","gen1c.45","0.025","0.7","300","64","10","0.50052","10"
"46","gen1b2.46","0.25","0.7","300","64","10","0.49188","8"
"46","gen1c.46","0.25","0.7","300","64","10","0.50036","15"
"47","gen1b2.47","0.025","1.15","300","64","10","0.48664","7"
"47","gen1c.47","0.025","1.15","300","64","10","0.4818","12"
"48","gen1b2.48","0.25","1.15","300","64","10","0.48528","10"
"48","gen1c.48","0.25","1.15","300","64","10","0.48976","8"
"49","gen1b2.49","0.025","0.7","100","64","25","0.52864","7"
"49","gen1c.49","0.025","0.7","100","64","25","0.51644","8"
"50","gen1b2.50","0.25","0.7","100","64","25","0.51844","11"
"50","gen1c.50","0.25","0.7","100","64","25","0.5178","11"
"51","gen1b2.51","0.025","1.15","100","64","25","0.51432","6"
"51","gen1c.51","0.025","1.15","100","64","25","0.51112","9"
"52","gen1b2.52","0.25","1.15","100","64","25","0.51304","7"
"52","gen1c.52","0.25","1.15","100","64","25","0.51012","5"
"53","gen1b2.53","0.025","0.7","200","64","25","0.51076","9"
"53","gen1c.53","0.025","0.7","200","64","25","0.50664","9"
"54","gen1b2.54","0.25","0.7","200","64","25","0.49968","8"
"54","gen1c.54","0.25","0.7","200","64","25","0.5056","13"
"55","gen1b2.55","0.025","1.15","200","64","25","0.4968","7"
"55","gen1c.55","0.025","1.15","200","64","25","0.49544","12"
"56","gen1b2.56","0.25","1.15","200","64","25","0.4978","11"
"56","gen1c.56","0.25","1.15","200","64","25","0.4978","8"
"57","gen1b2.57","0.025","0.7","300","64","25","0.49348","9"
"57","gen1c.57","0.025","0.7","300","64","25","0.49448","10"
"58","gen1b2.58","0.25","0.7","300","64","25","0.4952","8"
"58","gen1c.58","0.25","0.7","300","64","25","0.49924","15"
"59","gen1b2.59","0.025","1.15","300","64","25","0.47816","7"
"59","gen1c.59","0.025","1.15","300","64","25","0.48656","12"
"60","gen1b2.60","0.25","1.15","300","64","25","0.4874","10"
"60","gen1c.60","0.25","1.15","300","64","25","0.48564","8"
"61","gen1b2.61","0.025","0.7","100","64","40","0.52376","7"
"61","gen1c.61","0.025","0.7","100","64","40","0.52332","8"
"62","gen1b2.62","0.25","0.7","100","64","40","0.52128","11"
"62","gen1c.62","0.25","0.7","100","64","40","0.51904","11"
"63","gen1b2.63","0.025","1.15","100","64","40","0.50952","6"
"63","gen1c.63","0.025","1.15","100","64","40","0.51424","9"
"64","gen1b2.64","0.25","1.15","100","64","40","0.5126","7"
"64","gen1c.64","0.25","1.15","100","64","40","0.51632","5"
"65","gen1b2.65","0.025","0.7","200","64","40","0.50932","9"
"65","gen1c.65","0.025","0.7","200","64","40","0.50356","9"
"66","gen1b2.66","0.25","0.7","200","64","40","0.51328","8"
"66","gen1c.66","0.25","0.7","200","64","40","0.50684","13"
"67","gen1b2.67","0.025","1.15","200","64","40","0.50272","7"
"67","gen1c.67","0.025","1.15","200","64","40","0.49468","12"
"68","gen1b2.68","0.25","1.15","200","64","40","0.49616","10"
"68","gen1c.68","0.25","1.15","200","64","40","0.4924","8"
"69","gen1b2.69","0.025","0.7","300","64","40","0.49188","9"
"69","gen1c.69","0.025","0.7","300","64","40","0.49008","10"
"70","gen1b2.70","0.25","0.7","300","64","40","0.49752","8"
"70","gen1c.70","0.25","0.7","300","64","40","0.49748","14"
"71","gen1b2.71","0.025","1.15","300","64","40","0.49108","6"
"71","gen1c.71","0.025","1.15","300","64","40","0.4868","12"
"72","gen1b2.72","0.25","1.15","300","64","40","0.49496","10"
"72","gen1c.72","0.25","1.15","300","64","40","0.48868","8"
