"Model Number","Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Play Passed Tests"
"1","gen1b2.1","0.025","0.7","100","32","10","0.5248","9"
"1","gen1c.1","0.025","0.7","100","32","10","0.52756","6"
"2","gen1b2.2","0.25","0.7","100","32","10","0.51928","13"
"2","gen1c.2","0.25","0.7","100","32","10","0.53612","3"
"3","gen1b2.3","0.025","1.15","100","32","10","0.50684","7"
"3","gen1c.3","0.025","1.15","100","32","10","0.51716","7"
"4","gen1b2.4","0.25","1.15","100","32","10","0.51968","4"
"4","gen1c.4","0.25","1.15","100","32","10","0.51728","8"
"5","gen1b2.5","0.025","0.7","200","32","10","0.51076","10"
"5","gen1c.5","0.025","0.7","200","32","10","0.51156","7"
"6","gen1b2.6","0.25","0.7","200","32","10","0.50808","9"
"6","gen1c.6","0.25","0.7","200","32","10","0.51156","5"
"7","gen1b2.7","0.025","1.15","200","32","10","0.4998","8"
"7","gen1c.7","0.025","1.15","200","32","10","0.49808","10"
"8","gen1b2.8","0.25","1.15","200","32","10","0.50344","3"
"8","gen1c.8","0.25","1.15","200","32","10","0.50852","6"
"9","gen1b2.9","0.025","0.7","300","32","10","0.5","12"
"9","gen1c.9","0.025","0.7","300","32","10","0.5016","5"
"10","gen1b2.10","0.25","0.7","300","32","10","0.50176","9"
"10","gen1c.10","0.25","0.7","300","32","10","0.5042","4"
"11","gen1b2.11","0.025","1.15","300","32","10","0.49568","9"
"11","gen1c.11","0.025","1.15","300","32","10","0.4962","11"
"12","gen1b2.12","0.25","1.15","300","32","10","0.49504","5"
"12","gen1c.12","0.25","1.15","300","32","10","0.49176","7"
"13","gen1b2.13","0.025","0.7","100","32","25","0.52568","9"
"13","gen1c.13","0.025","0.7","100","32","25","0.52372","6"
"14","gen1b2.14","0.25","0.7","100","32","25","0.52808","13"
"14","gen1c.14","0.25","0.7","100","32","25","0.52676","3"
"15","gen1b2.15","0.025","1.15","100","32","25","0.52024","7"
"15","gen1c.15","0.025","1.15","100","32","25","0.51548","7"
"16","gen1b2.16","0.25","1.15","100","32","25","0.51948","4"
"16","gen1c.16","0.25","1.15","100","32","25","0.50792","8"
"17","gen1b2.17","0.025","0.7","200","32","25","0.50952","10"
"17","gen1c.17","0.025","0.7","200","32","25","0.50548","7"
"18","gen1b2.18","0.25","0.7","200","32","25","0.512","9"
"18","gen1c.18","0.25","0.7","200","32","25","0.5096","5"
"19","gen1b2.19","0.025","1.15","200","32","25","0.50712","8"
"19","gen1c.19","0.025","1.15","200","32","25","0.49796","10"
"20","gen1b2.20","0.25","1.15","200","32","25","0.50248","3"
"20","gen1c.20","0.25","1.15","200","32","25","0.49468","6"
"21","gen1b2.21","0.025","0.7","300","32","25","0.50252","12"
"21","gen1c.21","0.025","0.7","300","32","25","0.49548","5"
"22","gen1b2.22","0.25","0.7","300","32","25","0.50248","9"
"22","gen1c.22","0.25","0.7","300","32","25","0.4944","4"
"23","gen1b2.23","0.025","1.15","300","32","25","0.49448","9"
"23","gen1c.23","0.025","1.15","300","32","25","0.48612","11"
"24","gen1b2.24","0.25","1.15","300","32","25","0.49128","5"
"24","gen1c.24","0.25","1.15","300","32","25","0.4922","7"
"25","gen1b2.25","0.025","0.7","100","32","40","0.51972","9"
"25","gen1c.25","0.025","0.7","100","32","40","0.52612","6"
"26","gen1b2.26","0.25","0.7","100","32","40","0.51984","13"
"26","gen1c.26","0.25","0.7","100","32","40","0.51664","3"
"27","gen1b2.27","0.025","1.15","100","32","40","0.51092","7"
