"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Battle Command","Test Command"
"37","can3d.37","0.5","75","63","300","0","0.01","0.50588","0","10",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.37 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.37 -json output.json"
"38","can3d.38","0.5","75","127","300","0","0.01","0.49732","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.38 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.38 -json output.json"
"39","can3d.39","0.5","75","255","300","0","0.01","0.49828","0","12",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.39 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.39 -json output.json"
"40","can3d.40","0.5","150","63","300","0","0.01","0.50348","0","10",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.40 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.40 -json output.json"
"41","can3d.41","0.5","150","127","300","0","0.01","0.4968","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.41 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.41 -json output.json"
"42","can3d.42","0.5","150","255","300","0","0.01","0.49784","0","12",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.42 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.42 -json output.json"
"43","can3d.43","0.5","200","63","300","0","0.01","0.49608","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.43 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.43 -json output.json"
"44","can3d.44","0.5","200","127","300","0","0.01","0.49868","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.44 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.44 -json output.json"
"45","can3d.45","0.5","200","255","300","0","0.01","0.497","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.45 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.45 -json output.json"
"46","can3d.46","0.75","75","63","300","0","0.01","0.49796","0","7",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.46 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.46 -json output.json"
"47","can3d.47","0.75","75","127","300","0","0.01","0.4964","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.47 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.47 -json output.json"
"48","can3d.48","0.75","75","255","300","0","0.01","0.493","0","12",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.48 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.48 -json output.json"
"49","can3d.49","0.75","150","63","300","0","0.01","0.4972","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.49 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.49 -json output.json"
"50","can3d.50","0.75","150","127","300","0","0.01","0.5036","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.50 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.50 -json output.json"
"51","can3d.51","0.75","150","255","300","0","0.01","0.48972","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.51 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.51 -json output.json"
"52","can3d.52","0.75","200","63","300","0","0.01","0.49496","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.52 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.52 -json output.json"
"53","can3d.53","0.75","200","127","300","0","0.01","0.49204","0","12",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.53 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.53 -json output.json"
"54","can3d.54","0.75","200","255","300","0","0.01","0.49792","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.54 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.54 -json output.json"
