"Model Name","DecisionType","Win Rate vs gen4bc"
"can3ct.89","Call Trump","0.50188"
"can3ct.85","Call Trump","0.50124"
"can3ct.69","Call Trump","0.50376"
"can3ct.91","Call Trump","0.49472"
"can3ct.70","Call Trump","0.50512"
"can3d.31","Discard","0.50368"
"can3d.37","Discard","0.50432"
"can3d.16","Discard","0.50012"
"can3d.9","Discard","0.49836"
"can3d.67","Discard","0.50352"
"can3sp.47","Simple Play","0.5046"
"can3sp.12","Simple Play","0.50228"
"can3sp.30","Simple Play","0.51408"
"can3sp.20","Simple Play","0.50756"
"can3sp.2","Simple Play","0.49788"
"can3p.20","Play","0.39492"
"can3p.25","Play","0.38328"
"can3p.32","Play","0.39784"
"can3p.30","Play","0.39476"
