"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Battle Command","Test Command"
"23","can3ct.23","0.375","300","640","300","0","0.01","0.45928","13","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.23 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.23 -json output.json"
"24","can3ct.24","0.375","300","768","300","0","0.01","0.45592","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.24 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.24 -json output.json"
"25","can3ct.25","0.5","200","511","300","0","0.01","0.48744","17","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.25 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.25 -json output.json"
"26","can3ct.26","0.5","200","640","300","0","0.01","0.48448","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.26 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.26 -json output.json"
"27","can3ct.27","0.5","200","768","300","0","0.01","0.48816","16","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.27 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.27 -json output.json"
"28","can3ct.28","0.5","300","511","300","0","0.01","0.46896","12","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.28 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.28 -json output.json"
"29","can3ct.29","0.5","300","640","300","0","0.01","0.46336","10","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.29 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.29 -json output.json"
"30","can3ct.30","0.5","300","768","300","0","0.01","0.466","16","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.30 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.30 -json output.json"
"31","can3ct.31","0.625","200","511","300","0","0.01","0.49512","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.31 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.31 -json output.json"
"32","can3ct.32","0.625","200","640","300","0","0.01","0.48312","14","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.32 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.32 -json output.json"
"33","can3ct.33","0.625","200","768","300","0","0.01","0.48036","15","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.33 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.33 -json output.json"
"34","can3ct.34","0.625","300","511","300","0","0.01","0.46588","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.34 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.34 -json output.json"
"35","can3ct.35","0.625","300","640","300","0","0.01","0.47624","14","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.35 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.35 -json output.json"
"36","can3ct.36","0.625","300","768","300","0","0.01","0.4542","14","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.36 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.36 -json output.json"
"37","can3ct.37","0.5","200","127","300","0","0.01","0.4918","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.37 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.37 -json output.json"
"38","can3ct.38","0.625","200","127","300","0","0.01","0.48096","12","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.38 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.38 -json output.json"
"39","can3ct.39","0.5","200","127","300","0.3","0.01","0.47792","13","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.39 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.39 -json output.json"
"40","can3ct.40","0.625","200","127","300","0.3","0.01","0.4854","10","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.40 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.40 -json output.json"
"41","can3ct.41","0.5","200","127","300","0","0.1","0.4856","14","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.41 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.41 -json output.json"
"42","can3ct.42","0.625","200","127","300","0","0.1","0.48592","10","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.42 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.42 -json output.json"
"43","can3ct.43","0.5","200","127","300","0.3","0.1","0.49104","12","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.43 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.43 -json output.json"
"44","can3ct.44","0.625","200","127","300","0.3","0.1","0.4862","16","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.44 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.44 -json output.json"
"45","can3ct.45","0.5","150","255","300","0","0.01","0.49412","11","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.45 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.45 -json output.json"
"46","can3ct.46","0.5","200","255","300","0","0.01","0.4922","9","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.46 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.46 -json output.json"
"47","can3ct.47","0.625","150","255","300","0","0.01","0.50056","17","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.47 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.47 -json output.json"
"48","can3ct.48","0.625","200","255","300","0","0.01","0.48876","15","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.48 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.48 -json output.json"
"49","can3ct.49","0.5","150","255","500","0","0.01","0.50024","13","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.49 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.49 -json output.json"
"50","can3ct.50","0.5","200","255","500","0","0.01","0.49144","13","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.50 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.50 -json output.json"
"51","can3ct.51","0.625","150","255","500","0","0.01","0.4946","12","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.51 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.51 -json output.json"
"52","can3ct.52","0.625","200","255","500","0","0.01","0.49084","15","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.52 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.52 -json output.json"
"53","can3ct.53","0.5","200","511","300","0","0.01","0.4912","12","0",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-call can3ct.53 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3ct.53 -json output.json"
